movieId,count,score
164,4589,3.46
165,40436,3.50
166,723,2.83
167,84,3.19
168,13613,3.06
169,4028,2.30
170,9438,3.22
171,1463,3.60
172,14273,2.75
173,16819,2.53
174,2214,2.45
175,5688,3.53
176,2459,3.85
177,2397,2.89
178,519,3.38
179,1269,2.75
180,9536,3.57
181,2960,1.98
182,716,3.08
183,636,3.35
184,345,3.10
185,26551,3.12
186,12970,2.87
187,984,3.45
188,2682,3.33
189,343,3.01
190,1020,3.58
191,1840,2.69
192,86,3.02
193,8797,2.25
194,6380,3.84
195,3372,3.09
196,15154,2.83
197,113,3.08
198,9821,3.42
199,1641,3.77
200,354,2.84
201,385,3.04
202,454,3.02
203,5978,3.16
204,9195,2.93
205,1380,3.51
206,1056,3.48
207,5972,3.37
208,30719,2.86
209,776,2.82
210,498,2.89
211,603,3.59
212,475,2.56
213,1985,4.03
214,1009,4.04
215,6823,3.89
216,10356,3.25
217,1066,2.73
218,4410,3.29
219,690,3.61
220,307,2.41
222,6294,3.53
223,26104,3.86
224,9091,3.44
225,13371,3.29
226,48,2.69
227,4814,3.07
228,483,2.69
229,2526,3.56
230,7821,3.58
231,37036,2.95
232,6513,4.02
233,3615,3.53
234,3361,2.68
235,17553,3.66
236,13549,3.31
237,6744,3.22
238,877,3.16
239,3879,3.09
240,865,2.90
241,597,3.02
242,1125,3.39
243,481,2.50
244,307,2.36
245,267,2.96
246,11412,4.00
247,8271,3.82
248,3248,3.01
249,5175,3.67
250,1038,3.04
251,402,3.03
252,10921,3.21
253,30575,3.50
254,649,2.88
255,1124,2.28
256,11558,2.69
257,3973,3.41
258,1813,2.63
259,2080,3.07
260,77045,4.13
261,11937,3.60
262,4971,3.76
263,409,3.73
264,173,3.33
265,12618,3.92
266,17833,3.50
267,4521,2.90
268,750,3.30
269,612,3.48
270,1362,3.18
271,1307,3.33
272,8370,3.74
273,8330,3.12
274,1266,2.85
275,1620,2.73
276,5715,2.98
277,11164,3.39
278,1178,3.02
279,955,3.69
280,5314,3.72
281,4088,3.66
282,12340,3.39
283,248,3.09
284,40,2.80
285,88,2.37
286,115,2.02
287,334,3.24
288,25898,3.25
289,3367,3.36
290,4274,3.99
291,709,2.30
292,28649,3.42
293,34361,4.08
294,864,3.17
295,479,2.80
296,87901,4.17
297,273,3.11
298,253,3.51
299,2732,3.72
300,21672,3.66
301,485,3.51
302,1649,3.74
303,7820,3.04
304,747,3.19
305,3531,2.70
306,8352,4.06
307,7802,3.97
308,5924,3.90
309,466,3.64
310,265,2.77
311,86,2.74
312,1361,2.61
313,1416,3.06
314,4295,3.85
315,12431,2.90
316,36400,3.37
317,17624,3.13
318,91082,4.43
319,8119,3.75
320,332,3.25
321,960,3.76
322,3120,3.69
324,484,3.69
325,1092,2.66
326,1473,4.09
327,8399,2.81
328,2594,3.17
329,29770,3.34
330,1601,2.81
331,576,3.29
332,2237,2.78
333,12787,3.36
334,1670,3.81
335,412,3.26
336,311,2.86
337,19345,3.75
338,4885,2.99
339,25574,3.51
340,1514,3.37
341,414,3.58
342,13420,3.48
343,1006,2.67
344,44742,2.99
345,11732,3.62
346,1161,3.43
347,1698,3.43
348,8524,3.68
349,34191,3.67
350,16811,3.47
351,3880,3.31
352,1390,3.26
353,17748,3.51
354,1266,3.15
355,11628,2.42
356,91921,4.05
357,29743,3.65
358,2352,3.25
359,284,3.29
360,2173,2.73
361,5482,3.33
362,9045,3.37
363,658,4.00
364,45303,3.80
365,1951,3.16
366,2882,2.97
367,37660,3.18
368,18630,3.40
369,1144,3.31
370,16676,2.96
371,4411,3.26
372,9140,3.26
373,3648,3.77
374,5958,2.44
375,262,3.28
376,13138,3.29
377,45544,3.49
378,2404,3.13
379,6432,2.72
380,50168,3.50
381,5625,3.41
382,5992,3.05
383,5454,3.20
384,804,2.98
385,137,3.54
386,379,2.82
387,736,2.67
388,572,3.56
389,212,3.49
390,901,3.42
391,439,3.16
392,289,3.29
393,2469,1.92
394,141,3.37
395,18,2.86
396,33,2.47
397,101,2.19
398,58,3.37
399,12,2.29
400,33,2.55
401,22,3.05
402,66,2.89
403,18,2.36
404,91,3.32
405,3846,2.45
406,69,3.08
407,2055,3.18
408,706,3.23
409,485,3.04
410,20287,3.00
411,124,2.78
412,4797,3.55
413,6963,2.81
414,923,2.62
415,3302,2.81
416,1843,2.71
417,3394,3.52
418,709,2.70
419,5170,2.49
420,16232,2.76
421,1898,3.29
422,1468,3.23
423,2432,3.01
424,794,2.71
425,901,3.47
426,3437,3.11
427,3515,2.54
428,5584,3.82
429,1572,2.36
430,278,2.31
431,10533,3.70
432,13885,2.72
433,1274,2.92
434,27417,3.07
435,15289,2.57
436,1318,2.62
437,1896,2.60
438,1099,2.70
439,64,2.65
440,20034,3.60
441,9625,3.68
442,20319,3.04
443,620,3.34
444,1346,2.43
445,1985,2.88
446,3977,3.89
447,227,2.52
448,3121,3.55
449,711,3.46
450,3083,3.35
451,656,3.05
452,1226,3.56
453,982,3.11
454,27360,3.50
455,9893,2.61
456,997,3.83
457,56820,3.98
458,1082,3.15
459,1187,2.78
460,950,2.43
461,930,3.34
462,209,2.62
463,428,2.81
464,3343,2.92
465,760,3.27
466,15201,2.92
467,804,3.43
468,8079,3.31
469,1361,3.28
470,508,2.15
471,12195,3.65
472,744,2.88
473,1455,2.33
474,20020,3.72
475,10251,3.90
476,241,3.01
477,4744,3.55
478,288,2.43
479,1271,2.92
480,74355,3.66
481,6002,3.34
482,2833,3.43
483,619,3.77
484,784,2.78
485,15250,2.78
486,639,2.70
487,649,2.61
488,580,3.41
489,3169,2.76
490,3306,3.35
491,5874,3.40
492,3369,3.66
493,4009,3.61
494,14401,3.37
495,745,3.45
496,423,3.29
497,15269,3.87
498,407,2.81
499,421,2.76
500,37573,3.39
501,2096,3.83
502,4264,2.32
503,144,3.09
504,1187,2.98
505,1354,2.52
506,1420,3.49
507,3487,3.52
508,21961,3.81
509,18493,3.69
510,932,2.76
511,1720,3.14
512,1302,2.92
513,602,2.95
514,4879,3.45
515,11498,3.90
516,3557,3.08
517,3658,3.13
518,1276,2.70
519,5821,2.24
520,16850,3.06
521,2245,3.32
522,1349,3.55
523,943,3.65
524,9163,3.52
525,181,3.38
526,141,3.17
527,67662,4.27
528,943,2.79
529,11653,3.83
530,38,3.03
531,9131,3.50
532,6382,3.06
533,4077,2.93
534,5057,3.89
535,5883,3.77
536,778,3.27
537,3540,3.16
538,5392,3.70
539,31134,3.52
540,5305,2.72
541,37152,4.12
542,3826,2.86
543,14305,3.21
544,2289,2.93
545,58,2.69
546,6351,2.09
547,857,2.82
548,2951,2.90
549,1485,3.89
550,3477,3.08
551,23298,3.74
552,14937,3.19
553,16262,3.69
554,538,3.09
555,17040,3.80
556,1283,3.97
558,1661,2.81
559,55,2.84
560,41,3.01
561,232,3.43
562,6993,3.76
563,361,3.45
564,349,2.34
565,846,3.21
566,154,2.79
567,422,3.37
568,395,3.55
569,1743,2.94
570,228,3.46
571,211,3.62
572,38,2.63
573,213,3.44
574,1432,3.30
575,3058,3.04
576,26,2.50
577,665,2.82
579,41,3.01
580,597,3.05
581,1960,3.99
582,140,3.35
583,273,3.53
584,30,3.07
585,11105,2.61
586,31447,3.12
587,31605,3.45
588,50375,3.69
589,61836,3.94
590,51338,3.74
591,36,2.07
592,53717,3.38
593,84078,4.15
594,20213,3.58
595,41283,3.68
596,15485,3.45
597,37405,3.43
598,161,3.62
599,3505,3.98
600,315,2.99
601,119,3.39
602,356,4.00
603,622,2.96
604,12,2.67
605,3803,3.31
606,1585,2.58
607,24,2.81
608,52474,4.11
609,2839,3.03
610,8630,3.37
611,1909,2.53
612,1676,2.73
613,2881,3.64
614,168,3.11
615,663,3.86
616,9757,3.37
617,575,3.59
618,379,2.74
619,780,2.62
620,43,3.29
621,339,3.60
623,46,3.26
624,57,2.62
625,31,3.27
626,682,2.90
627,1937,3.53
628,12702,3.75
629,29,3.16
630,237,3.35
631,2618,2.76
632,398,3.93
633,348,3.39
634,364,2.28
635,1157,3.64
636,39,2.96
637,6922,2.85
638,609,3.28
639,1205,2.93
640,3382,2.98
641,101,2.45
642,13,1.81
643,28,2.39
644,21,2.48
645,320,3.64
647,8644,3.53
648,44121,3.40
649,146,3.73
650,1487,3.46
651,53,2.52
652,82,3.01
653,16609,3.22
654,19,2.97
655,19,2.32
656,1270,2.88
657,42,2.56
658,55,3.05
659,476,3.70
660,134,2.99
661,12565,3.29
662,3095,3.26
663,3498,3.36
664,330,3.05
665,1365,3.96
666,186,3.46
667,1161,2.57
668,869,4.10
670,820,4.11
671,7330,3.66
672,28,2.43
673,12451,2.75
674,3515,2.98
675,31,2.29
676,30,2.52
678,2813,4.07
679,99,3.37
680,1246,3.55
681,357,3.58
682,69,3.21
683,40,2.64
684,23,2.48
685,562,3.52
687,102,3.00
688,3119,2.59
690,86,3.33
691,1262,3.05
692,954,2.34
693,36,3.04
694,2912,3.02
695,883,3.18
696,127,3.15
697,1185,2.79
698,160,2.83
699,18,2.25
700,1302,3.24
701,111,3.20
702,421,3.75
703,381,2.88
704,1925,2.84
705,450,3.50
706,261,3.13
707,4908,3.08
708,16751,3.40
709,3058,3.31
710,1319,2.74
711,2533,2.67
712,192,3.49
713,147,3.45
714,4119,3.89
715,646,3.54
716,329,2.93
717,98,3.20
718,1097,3.43
719,9030,2.95
720,9584,4.04
721,18,3.00
722,362,3.60
723,39,3.31
724,10478,3.07
725,1636,2.80
726,568,3.13
727,29,3.16
728,3742,3.81
729,120,3.40
730,73,3.07
731,885,2.93
732,252,2.80
733,37057,3.69
734,65,2.67
735,1221,3.51
736,38113,3.22
737,4965,2.12
738,29,3.00
739,15,1.93
741,8604,3.96
742,2035,2.75
743,7510,2.75
744,38,2.92
745,13649,4.11
746,334,3.74
747,1173,2.34
748,5628,3.17
749,48,2.71
750,28280,4.21
751,165,3.46
752,44,2.91
753,527,3.30
754,391,2.94
755,157,3.38
756,123,3.17
757,263,3.59
758,29,3.07
759,382,3.85
760,1031,3.67
761,4143,2.81
762,11505,2.42
763,60,3.08
764,613,3.37
765,5905,3.06
766,1890,3.46
767,315,3.53
768,34,3.00
769,142,3.58
770,34,2.74
771,167,3.38
772,39,2.83
773,42,3.40
774,39,2.69
775,156,2.96
776,53,2.85
777,33,2.91
778,29839,4.01
779,557,2.86
780,57232,3.40
781,2150,3.43
782,2969,2.88
783,13053,3.24
784,17021,2.70
785,12453,3.28
786,18835,3.17
787,93,3.68
788,21914,2.86
789,52,3.07
790,118,3.52
791,118,3.61
792,56,3.02
793,124,3.26
794,109,3.36
795,115,3.21
796,47,2.97
797,120,3.39
798,3373,2.83
799,7022,3.36
800,7534,4.06
801,1831,3.03
802,14456,3.47
803,604,3.57
804,2351,3.08
805,13736,3.69
806,588,3.16
807,221,3.28
808,867,3.22
809,1444,2.85
810,2133,1.86
812,39,2.49
813,503,2.77
814,14,3.11
815,31,2.15
816,79,3.25
818,3094,2.62
819,64,3.36
820,64,2.87
821,50,2.99
822,38,3.17
823,128,3.37
824,412,3.80
825,25,2.64
826,26,2.15
827,167,3.10
828,1723,3.15
829,1961,2.68
830,8013,3.09
831,229,3.52
832,16461,3.45
833,1549,2.71
834,213,2.62
835,1028,3.19
836,5546,2.92
837,6624,3.43
838,9148,3.75
839,4662,2.80
840,727,2.71
841,582,3.71
842,2135,2.77
843,63,3.33
844,181,3.76
845,75,3.37
846,419,3.49
847,120,2.91
848,2165,3.66
849,9758,2.77
850,266,3.54
851,1725,3.50
852,11930,3.18
853,119,3.30
854,235,3.72
855,38,2.82
856,59,3.36
857,50,3.33
858,57070,4.34
859,19,2.47
860,389,3.54
861,2690,3.44
862,374,3.60
864,91,3.25
865,106,3.31
866,6688,3.71
867,355,2.38
868,99,3.14
869,588,3.10
870,497,2.25
871,63,3.20
872,67,3.49
873,46,3.02
874,83,3.05
875,548,3.43
876,328,2.71
877,177,3.16
878,30,2.78
879,2359,2.82
880,6062,2.50
881,1188,2.84
882,847,2.99
884,61,3.29
885,663,2.67
886,1855,3.07
887,49,2.95
888,787,2.31
889,131,3.37
890,33,3.14
891,2228,2.60
892,1458,3.73
893,605,3.66
894,33,2.64
895,67,2.98
896,514,3.69
897,941,3.65
898,7705,4.11
899,12416,4.03
900,3289,3.79
901,1704,3.62
902,12378,3.82
903,17219,4.12
904,21335,4.23
905,4638,4.14
906,2240,4.03
907,939,3.91
908,19013,4.21
909,6138,4.02
910,13365,4.03
911,4611,4.04
912,30043,4.21
913,14281,4.14
914,11864,3.87
915,6075,3.87
916,7244,4.06
917,1198,3.62
918,2016,3.73
919,26547,3.95
920,17917,3.82
921,2491,3.79
922,7930,4.20
923,20830,4.09
924,30001,3.97
925,100,3.52
926,5453,4.17
927,941,3.94
928,5374,4.07
929,1025,3.83
930,5486,4.17
931,2482,3.90
932,2309,3.82
933,5244,4.00
934,4798,3.46
935,669,3.74
936,1508,4.00
937,539,3.67
938,1832,3.60
939,112,3.30
940,4356,3.86
941,1037,3.57
942,2992,4.07
943,1796,3.81
944,1140,3.82
945,2250,4.04
946,1567,3.95
947,1922,4.04
948,1808,3.74
949,2345,3.91
950,3628,4.15
951,4445,4.10
952,2765,3.48
953,17260,4.02
954,6687,3.99
955,4892,4.03
956,383,3.49
957,257,3.24
958,104,3.10
959,409,3.71
960,173,3.49
961,270,3.39
962,107,3.40
963,568,3.54
964,363,3.40
965,4032,3.98
966,136,3.46
967,178,2.77
968,9396,3.61
969,11763,4.07
970,405,3.51
971,3185,3.93
972,131,3.16
973,993,3.83
974,147,3.38
975,29,2.97
976,458,3.52
977,12,2.17
979,50,3.15
980,134,3.10
981,232,2.64
982,619,3.64
983,22,2.68
984,248,2.70
985,62,3.42
986,3325,3.50
987,291,3.19
988,552,3.35
989,81,3.46
990,976,2.73
991,2683,3.57
992,280,2.75
993,254,3.51
994,5562,4.00
996,3528,3.01
997,229,3.53
998,849,3.22
999,3260,3.29
1000,217,3.10
1001,43,2.83
1002,149,3.51
1003,1713,3.14
1004,1649,2.69
1005,2405,2.51
1006,1634,3.25
1007,1893,2.95
1008,818,3.32
1009,2772,3.14
1010,2739,3.07
1011,1642,2.75
1012,3793,3.55
1013,5252,3.41
1014,1725,3.37
1015,4232,3.27
1016,1533,3.13
1017,3670,3.50
1018,1299,3.07
1019,7181,3.52
1020,7964,3.26
1021,4112,2.84
1022,10968,3.54
1023,3488,3.74
1024,1189,3.17
1025,6469,3.56
1026,128,3.21
1027,9274,3.29
1028,16392,3.72
1029,10636,3.45
1030,3513,3.09
1031,4915,3.34
1032,9487,3.61
1033,4898,3.45
1034,1615,3.53
1035,16462,3.80
1036,38049,3.93
1037,7740,2.74
1038,247,3.22
1039,62,3.05
1040,160,3.38
1041,6008,4.04
1042,9612,3.43
1043,1268,3.01
1044,529,3.33
1045,51,3.03
1046,1419,3.97
1047,9738,3.42
1049,5575,3.41
1050,1802,3.76
1051,1413,3.56
1052,49,3.39
1053,220,3.04
1054,816,3.48
1055,362,2.77
1056,761,3.46
1057,3715,3.43
1058,138,3.29
1059,12229,3.56
1060,10726,3.83
1061,10336,3.63
1062,78,2.99
1063,165,3.31
1064,3609,3.10
1065,20,2.92
1066,1500,3.97
1067,148,3.40
1068,352,3.67
1069,829,3.94
1070,64,3.08
1071,61,3.31
1073,32699,3.70
1075,146,3.45
1076,544,3.83
1077,7783,3.83
1078,3893,3.72
1079,21616,3.83
1080,24336,3.98
1081,4109,3.51
1082,1946,3.64
1083,1624,3.46
1084,10921,3.85
1085,1357,3.65
1086,6579,4.02
1087,295,3.44
1088,13519,3.24
1089,35131,4.09
1090,18222,3.91
1091,6066,2.80
1092,12876,3.35
1093,9138,3.36
1094,13452,3.64
1095,6825,3.86
1096,4079,3.91
1097,39023,3.75
1098,136,3.06
1099,2302,3.81
1100,6253,2.86
1101,22865,3.41
1102,86,2.61
1103,7092,3.79
1104,7655,3.96
1105,1011,2.35
1106,44,2.75
1107,98,2.46
1109,14,2.82
1110,35,2.64
1111,1957,3.95
1112,405,3.40
1113,1120,3.19
1114,512,3.23
1115,43,2.95
1116,178,3.36
1117,257,3.65
1118,35,3.00
1119,185,3.16
1120,10375,3.55
1121,128,2.85
1122,22,2.66
1123,215,3.60
1124,5035,3.69
1125,6146,3.61
1126,3438,2.68
1127,19010,3.67
1128,1908,3.03
1129,10360,3.37
1130,2091,3.20
1131,3515,4.11
1132,3217,4.07
1133,117,3.63
1134,62,3.15
1135,4248,3.10
1136,39058,4.16
1137,74,3.24
1138,55,3.41
1139,29,3.14
1140,41,3.59
1141,7,2.21
1142,68,3.07
1143,62,3.42
1144,176,3.69
1145,61,3.55
1146,42,3.19
1147,4028,4.13
1148,16993,4.13
1149,63,3.18
1150,1710,3.88
1151,404,3.65
1152,181,3.47
1153,156,3.24
1154,120,3.33
1155,10,2.15
1156,50,3.29
1157,39,3.32
1158,17,2.91
1159,20,2.88
1160,44,3.17
1161,1583,3.80
1162,820,3.78
1163,252,3.36
1164,196,3.42
1165,42,3.01
1166,43,3.35
1167,916,2.95
1168,213,2.50
1169,329,3.85
1170,175,2.07
1171,3432,3.70
1172,11255,4.12
1173,3232,3.44
1174,109,3.16
1175,8205,3.96
1176,1909,3.90
1177,1915,3.86
1178,4271,4.20
1179,7050,3.71
1180,480,3.78
1181,110,3.05
1183,17767,3.64
1184,1071,3.75
1185,6450,3.88
1186,8576,3.51
1187,1228,3.66
1188,8618,3.80
1189,2979,4.09
1190,1660,3.51
1191,1675,2.89
1192,1177,3.92
1193,40103,4.23
1194,2947,3.43
1196,61672,4.14
1197,40931,4.13
1198,59693,4.13
1199,16400,4.01
1200,32943,3.99
1201,18609,4.12
1202,1808,3.84
1203,16896,4.23
1204,14975,4.12
1206,30704,3.98
1207,17374,4.16
1208,27741,4.11
1209,5669,4.11
1210,62714,3.99
1211,4079,4.02
1212,7676,4.21
1213,33987,4.18
1214,37286,4.05
1215,14162,3.71
1216,1965,3.84
1217,5534,4.15
1218,3041,4.04
1219,23188,4.07
1220,22537,3.80
1221,36679,4.26
1222,26328,4.04
1223,9076,4.01
1224,4917,4.09
1225,23144,4.06
1226,2384,3.91
1227,4981,3.96
1228,11365,4.05
1230,18834,4.05
1231,8714,3.92
1232,2468,4.05
1233,15678,4.11
1234,17430,4.15
1235,9770,3.96
1236,1014,4.03
1237,5238,4.09
1238,3336,3.96
1240,40250,3.89
1241,2952,3.72
1242,13715,3.94
1243,4422,3.92
1244,9986,4.03
1245,6894,3.96
1246,25752,3.91
1247,20073,4.04
1248,5199,4.16
1249,10354,3.84
1250,14410,4.08
1251,3651,4.02
1252,18397,4.16
1253,7163,3.88
1254,5768,4.13
1255,2146,3.44
1256,6196,4.09
1257,5852,3.83
1258,30084,4.01
1259,24137,3.99
1260,4873,4.16
1261,9304,3.75
1262,12461,4.11
1263,12359,3.97
1264,2742,4.01
1265,38672,3.88
1266,16135,3.98
1267,10150,4.09
1268,3319,3.50
1269,7709,4.01
1270,54783,3.92
1271,10357,3.73
1272,9370,4.00
1273,3000,4.01
1274,9657,3.89
1275,12880,3.60
1276,13037,4.08
1277,4421,3.78
1278,17334,3.97
1279,2703,3.84
1280,3563,4.11
1281,4688,4.05
1282,14399,3.69
1283,5546,4.04
1284,6303,4.16
1285,12820,3.73
1286,2311,3.57
1287,10414,3.80
1288,18175,4.01
1289,3129,3.94
1290,2565,3.55
1291,39725,3.98
1292,7221,3.96
1293,11695,3.97
1295,3662,3.68
1296,7417,3.89
1297,4696,3.65
1298,7413,3.71
1299,7964,4.06
1300,3721,4.02
1301,4127,3.86
1302,14188,3.62
1303,3851,4.03
1304,17538,4.03
1305,2693,3.88
1306,1128,3.59
1307,25160,3.83
1308,29,2.72
1309,34,3.19
1310,400,3.55
1311,165,2.56
1312,354,3.53
1313,122,2.78
1314,52,3.21
1315,67,3.35
1316,49,3.41
1317,344,3.20
1318,186,3.35
1319,28,3.09
1320,15854,3.10
1321,8958,3.51
1322,309,1.76
1323,457,1.64
1324,251,1.81
1325,295,1.70
1326,631,1.99
1327,3532,2.95
1328,288,1.87
1329,377,2.75
1330,992,2.83
1331,425,2.91
1332,761,3.00
1333,13262,3.73
1334,2954,3.11
1335,222,1.93
1336,479,2.29
1337,725,3.46
1339,11655,3.43
1340,2477,3.73
1341,438,2.90
1342,3881,2.96
1343,10559,3.54
1344,4861,3.78
1345,10388,3.43
1346,1806,3.00
1347,9286,3.26
1348,4390,3.87
1349,131,3.19
1350,6427,3.55
1351,415,3.03
1352,811,3.02
1353,2294,3.20
1354,4245,3.85
1355,861,3.10
1356,22018,3.67
1357,9086,3.85
1358,15098,3.98
1359,4381,2.58
1360,64,3.24
1361,1785,4.07
1363,1832,3.10
1364,101,3.52
1365,1193,3.84
1366,2149,3.41
1367,10240,3.07
1368,48,3.32
1369,104,3.37
1370,17749,3.43
1371,11545,3.09
1372,12439,3.30
1373,8772,2.87
1374,17650,3.68
1375,12497,3.23
1376,15170,3.46
1377,14695,3.12
1378,7950,3.27
1379,3151,2.97
1380,18508,3.31
1381,4207,1.99
1382,1069,2.75
1383,151,2.27
1384,131,3.57
1385,7242,3.12
1386,31,2.65
1387,25422,3.79
1388,5197,2.61
1389,2167,1.90
1390,1722,3.26
1391,19515,2.96
1392,1774,3.62
1393,25121,3.61
1394,16940,3.87
1395,2363,3.37
1396,13718,3.63
1397,658,3.56
1398,885,3.14
1399,1541,3.42
1400,39,3.41
1401,1559,3.53
1404,678,3.23
1405,10332,2.92
1406,382,3.60
1407,19281,3.27
1408,13888,3.71
1409,7051,3.05
1410,783,3.01
1411,7080,3.73
1412,291,3.73
1413,386,3.56
1414,1853,3.40
1415,282,3.55
1416,6478,3.14
1417,800,3.09
1419,1475,3.88
1420,91,3.66
1421,209,3.06
1422,3216,3.08
1423,191,3.83
1424,31,2.90
1425,2245,3.22
1426,263,2.62
1427,825,2.60
1428,333,3.43
1429,3835,3.30
1430,223,3.21
1431,3486,2.58
1432,1435,2.87
1433,70,2.20
1434,70,3.07
1436,75,2.99
1437,338,3.66
1438,7143,2.82
1439,365,2.33
1440,767,2.78
1441,6810,3.54
1442,761,3.33
1443,28,3.16
1444,141,3.43
1445,1412,2.33
1446,2528,4.00
1447,629,3.28
1448,55,3.39
1449,6797,3.92
1450,299,3.72
1453,1777,2.45
1454,811,3.21
1455,181,3.08
1456,584,2.25
1457,3091,3.10
1458,240,3.03
1459,3819,3.35
1460,856,2.62
1461,2788,2.81
1462,20,2.45
1463,383,3.09
1464,4860,3.70
1465,1130,3.52
1466,12294,3.80
1467,35,2.77
1468,1273,2.59
1470,57,3.18
1471,100,3.40
1472,416,3.03
1473,241,2.91
1474,2172,2.54
1475,854,3.12
1476,6505,3.34
1477,407,3.35
1479,9564,3.16
1480,1996,3.26
1482,534,3.38
1483,3229,3.12
1484,1070,3.69
1485,21222,3.22
1486,94,3.39
1487,1902,3.13
1488,3894,3.04
1489,468,3.01
1490,356,1.97
1493,233,3.41
1495,761,1.42
1496,415,3.31
1497,812,2.30
1498,1280,3.19
1499,6914,2.08
1500,16040,3.72
1501,212,2.57
1502,273,3.35
1503,1367,2.62
1504,144,3.45
1507,401,3.39
1508,211,3.31
1509,213,3.43
1510,26,2.58
1511,168,3.48
1513,9705,2.94
1514,138,2.98
1515,4525,2.69
1516,482,3.48
1517,25911,3.40
1518,3252,3.31
1519,127,3.28
1520,157,2.77
1522,40,2.67
1523,368,2.86
1524,22,2.43
1525,356,2.44
1526,846,2.53
1527,34223,3.74
1528,30,2.80
1529,279,3.36
1531,75,3.30
1532,69,2.41
1533,342,3.75
1534,105,3.56
1535,780,3.53
1537,4618,3.87
1538,143,2.48
1539,301,3.12
1541,2269,3.11
1542,2263,3.57
1543,77,3.07
1544,16970,2.98
1545,659,3.85
1546,445,3.61
1547,294,3.22
1548,41,3.12
1549,135,2.99
1550,713,2.76
1551,335,2.57
1552,16498,3.19
1553,37,3.19
1554,1376,3.51
1555,74,3.49
1556,6200,1.95
1557,23,3.15
1558,36,2.58
1559,16,2.94
1561,42,2.92
1562,11174,2.20
1563,224,3.35
1564,288,3.61
1565,261,2.86
1566,6988,3.39
1567,83,2.91
1568,13,2.81
1569,12125,3.27
1570,334,3.14
1571,480,3.64
1572,717,3.83
1573,21433,3.33
1574,131,3.11
1575,161,3.50
1577,38,3.55
1578,28,2.82
1579,43,3.20
1580,42193,3.57
1581,677,2.77
1582,512,3.06
1583,274,2.71
1584,23900,3.67
1585,214,3.33
1586,8341,2.93
1587,8021,3.19
1588,4981,2.70
1589,5771,3.27
1590,8225,2.96
1591,6317,2.64
1592,1594,2.34
1593,1794,2.92
1594,2727,3.67
1595,1094,1.79
1596,523,3.43
1597,12479,3.33
1598,992,2.91
1599,594,1.67
1600,729,2.84
1601,690,2.89
1602,489,2.05
1603,3374,2.78
1604,853,2.93
1605,969,2.62
1606,921,2.37
1608,16624,3.32
1609,801,3.03
1610,24238,3.86
1611,2750,3.42
1612,481,3.22
1613,270,3.16
